cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090042,"42 ""PA"" -  4/2 BPM/XANXERE    "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150102,QG - GBM SAO CARLOS           
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040019,"19 ""PL"" -  10 BPM/BLUMENAU    "
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020002,FUPESC - PENIT. FPOLIS        
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040093,"93 ""PL"" - BOPE - SÃO JOSÈ     "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090101,"101 ""PA"" - GU.ESP.- B.NORTE   "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150113,QG - CBM BOM RETIRO           
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090031,"31 ""PA"" - 4/2 BBM/CANOINHAS   "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040003,"03 ""PL"" -  2 BPM/CHAPECO      "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150063,QG- GBM PONTE SERRADA         
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250024,ALMOXARIFADO 24 SEDE-ESTREITO 
9101,22 SEC.DE EST.DO DES.REG.-ARARANGUA               ,22 SDR,91010001,SDR 22-ARARANGUA              
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150071,QG- PBM BLUMENAU - GARCIA     
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230005,ALMOXARIFADO DO CEFID         
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850033,LF- CBM ARARANGUA             
2323,DEPARTAMENTO DE TRANSPORTES E TERMINAIS           ,DETER,23230001,ALMOXARIFADO TERM.RITA MARIA  
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250013,ALMOXARIFADO 13 ARARANGUA     
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090090,"90 ""PA"" - 20º GPPRE -CONCORDIA"
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250087,ALMOX/87 G.P.RV B.J. SERRA    
1993,FUNDO ROTATIVO DA PENITENCIARIA DE CURITIBANOS    ,FRPC,19930001,ALMOXARIFADO GERAL - FRPC     
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230012,ALMOX. CERES/LAGUNA           
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150073,QG- GBM GASPAR                
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250068,ALMOX/68 G.P.RV GASPAR        
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250009,ALMOXARIFADO 09 FLORIANOPOLIS 
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090086,"86 ""PA"" - G. ESP. STO AMARO   "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150018,BOA (BATALHAO DE OP. AEREAS)  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090076,10º GRUP POL RODOVI�RIA  - PA 
2729,AGENCIA DE REGULACAO DOS SERV. PUBLICOS - SC      ,ARESC,27290001,ALMOX. GERAL ARESC            
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040078,12º GRUP POL RODOVI�RIA - PL  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090012,"12 ""PA"" - 6 BPM/LAGES         "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090002,"02 ""PA"" - 12º BPM/B.CAMBORIU  "
1501,SECRETARIA DE ESTADO DA EDUCACAO                  ,SED,15010018,18 - ALIMENTACAO ESCOLAR      
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040004,"04 ""PL""-26 BPM/HERVAL D'OESTE "
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850012,LF- PBM IMBITUBA              
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090123,"123-""PA"" - 2A/GEIC - URUSSANGA"
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040037,"37 ""PL"" -  1 BPM/ITAJAI       "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150029,QG- PBM MAFRA                 
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090065,"65 ""PA"" - CPGD/FPOLIS         "
1901,FUNDO DE MELHORIA DA SSP                          ,SSP,19010001,ALMOXARIFADO GERAL - SSP      
1196,FUNDO EST.DE DEFESA CIVIL  CV                     ,FUNDEC,11960001,ALMOX. GERAL - FUNDEC         
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850077,LF- GBM ITUPORANGA            
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090023,"23 ""PA"" - 13 BPM/RIO DO SUL   "
